PV,MV,BO,TP,TP_O
1,1,1,505,450
1,1,1,507,450
1,1,1,526,450
1,1,1,536,450
1,1,1,507,450
1,1,1,545,450
1,1,1,519,450
1,1,1,491,450
1,1,1,521,450
1,1,1,488,450
1,1,1,497,450
1,1,1,488,450
1,1,1,521,450
1,1,1,489,450
1,1,1,523,450
1,1,1,521,450
1,1,1,521,450
1,1,1,485,450
1,1,1,520,450
1,1,1,491,450
1,1,1,486,450
1,1,1,506,450
1,1,1,532,450
1,1,1,527,450
1,1,1,515,450
1,1,1,497,450
1,1,1,543,450
1,1,1,525,450
1,1,1,536,450
1,1,1,529,450
1,1,1,526,450
1,1,0,605,450
1,1,0,691,450
1,1,0,682,450
1,1,0,674,450
1,1,1,675,450
1,1,1,535,450
1,1,1,526,450
1,1,1,540,450
1,1,1,545,450
1,1,1,443,450
1,1,1,544,450
1,1,1,550,450
1,1,1,560,450
1,1,1,547,450
1,1,1,568,450
1,1,1,532,450
1,1,1,545,450
1,1,1,548,450
1,1,1,532,450
1,1,1,530,450
1,1,1,543,450
1,1,1,534,450
1,1,1,554,450
