PV,MV,BO,TP,MO,TP_O
1,0,1,521,1259,550
1,0,1,521,1264,550
1,0,1,576,1263,550
1,0,1,514,1267,550
1,0,1,574,1267,550
1,0,1,531,1272,550
1,0,1,571,1272,550
1,0,1,529,1276,550
1,0,1,562,1371,550
1,0,1,557,1281,550
1,0,1,575,1307,550
1,0,0,702,1289,550
1,0,0,990,1286,550
1,0,0,983,1283,550
1,0,0,980,1283,550
1,0,1,983,1283,550
1,0,1,506,1285,550
1,0,1,575,1287,550
1,0,1,531,1293,550
1,0,1,581,1292,550
1,0,1,562,1297,550
1,0,1,574,1297,550
1,0,1,522,1302,550
1,0,1,570,1415,550
1,0,1,540,1305,550
1,0,1,579,1313,550
1,0,1,568,1310,550
1,0,1,544,1315,550
1,0,1,581,1313,550
1,0,1,528,1318,550
1,0,1,533,1318,550
1,0,0,734,1327,550
1,0,0,992,1321,550
1,0,0,981,1319,550
1,0,0,979,1318,550
1,0,1,970,1315,550
1,0,1,546,1328,550
1,0,1,523,1324,550
1,0,1,571,1438,550
1,0,1,544,1329,550
1,0,1,582,1432,550
1,0,1,576,1334,550
1,0,1,546,1339,550
1,0,1,560,1339,550
1,0,1,558,1354,550
1,0,1,525,1344,550
1,0,1,546,1348,550
1,0,1,580,1347,550
1,0,1,533,1352,550
1,0,1,582,1352,550
1,0,0,744,1361,550
1,0,0,977,1355,550
1,0,0,971,1354,550
1,0,0,964,1353,550
1,0,0,970,1352,550
1,0,0,962,1352,550
1,0,0,970,1352,550
1,0,0,961,1351,550
1,0,0,969,1351,550
1,0,0,958,1352,550
1,0,0,964,1351,550
1,0,0,960,1352,550
1,0,1,964,1350,550
1,0,1,568,1352,550
1,0,1,515,1358,550
1,0,1,574,1359,550
1,0,1,532,1363,550
1,0,1,581,1344,550
1,0,1,556,1368,550
1,0,1,553,1374,550
1,0,1,578,1371,550
1,0,0,741,1378,550
1,0,0,986,1373,550
1,0,0,987,1373,550
1,0,0,980,1372,550
1,0,1,980,1369,550
1,0,1,576,1373,550
1,0,1,532,1378,550
1,0,1,585,1378,550
1,0,1,520,1382,550
1,0,1,585,1382,550
1,0,1,523,1387,550
1,0,1,582,1388,550
1,0,1,536,1392,550
1,0,1,570,1485,550
1,0,1,536,1396,550
1,0,1,564,1412,550
1,0,1,574,1399,550
1,0,1,551,1405,550
1,0,1,586,1404,550
1,0,1,579,1408,550
1,0,0,695,1413,550
1,0,0,993,1408,550
1,0,0,984,1407,550
1,0,0,980,1407,550
1,0,1,979,1406,550
1,0,1,515,1407,550
1,0,1,586,1410,550
1,0,1,530,1414,550
1,0,1,590,1415,550
1,0,1,550,1419,550
1,0,1,583,1420,550
1,0,1,531,1424,550
1,0,1,577,1541,550
1,0,1,550,1428,550
1,0,1,590,1538,550
1,0,1,563,1432,550
1,0,1,558,1438,550
1,0,1,584,1437,550
1,0,1,545,1440,550
1,0,1,533,1442,550
1,0,0,747,1447,550
1,0,0,992,1443,550
1,0,0,984,1441,550
1,0,0,979,1440,550
1,0,1,978,1437,550
1,0,1,576,1440,550
1,0,1,530,1446,550
1,0,1,590,1446,550
1,0,1,523,1452,550
1,0,1,592,1565,550
1,0,1,549,1455,550
1,0,1,577,1544,550
1,0,1,566,1460,550
1,0,1,561,1466,550
1,0,1,524,1464,550
1,0,1,548,1468,550
1,0,1,596,1468,550
1,0,1,532,1472,550
1,0,1,590,1471,550
1,0,1,567,1476,550
1,0,0,744,1481,550
1,0,0,989,1478,550
1,0,0,984,1475,550
1,0,0,980,1475,550
1,0,1,980,1473,550
1,0,1,574,1475,550
1,0,1,580,1592,550
1,0,1,555,1481,550
1,0,1,571,1499,550
1,0,1,534,1486,550
1,0,1,555,1490,550
1,0,1,595,1490,550
1,0,1,564,1498,550
1,0,1,582,1495,550
1,0,1,594,1504,550
1,0,1,593,1500,550
1,0,1,542,1504,550
1,0,1,596,1504,550
1,0,1,542,1509,550
1,0,1,545,1509,550
1,0,0,748,1516,550
